Latitude,Longitude,Altitude,ID,Time,SSID1,MAC1,Frequency1,Signal1,SSID2,MAC2,Frequency2,Signal2,SSID3,MAC3,Frequency3,Signal3,SSID4,MAC4,Frequency4,Signal4,SSID5,MAC5,Frequency5,Signal5,SSID6,MAC6,Frequency6,Signal6,SSID7,MAC7,Frequency7,Signal7,SSID8,MAC8,Frequency8,Signal8,SSID9,MAC9,Frequency9,Signal9,SSID10,MAC10,Frequency10,Signal10
32.10487307,35.21134308,692,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:53,Ariel_University,1c:b9:c4:15:42:68,11,-85,Ariel_University,1c:b9:c4:15:44:58,11,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.1050222,35.21107852,689,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:53,Ariel_University,1c:b9:c4:15:44:58,11,-77,Ariel_University,1c:b9:c4:16:2d:e8,11,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.10503208,35.21092655,687,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:53,Ariel_University,1c:b9:c4:15:25:48,1,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.10495375,35.21060853,686,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:53,Ariel_University,1c:b9:c4:16:05:38,11,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.10490203,35.21044203,686,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:53,Ariel_University,1c:b9:c4:16:05:38,11,-82,Ariel_University,1c:b9:c4:16:2d:e8,11,-83,yosh,00:11:6b:11:7e:0c,1,-84,Ariel_University,1c:b9:c4:15:44:88,6,-88,Ariel_University,1c:b9:c4:15:ed:48,1,-89,,,,,,,,,,,,,,,,,,,,
32.1048406,35.21025994,688,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:53,outsense,c2:6c:ac:a0:7b:4d,11,-80,Guest,a2:6c:ac:a0:7b:4d,11,-82,shapedo,c2:6c:ac:9f:fb:1f,1,-82,Ariel_University,1c:b9:c4:16:2b:e8,6,-83,EVE,90:6c:ac:a0:7b:4d,11,-83,Ariel_University,1c:b9:c4:15:42:68,11,-86,Ariel_University,1c:b9:c4:15:41:78,1,-90,Ariel_University,1c:b9:c4:14:2b:c8,6,-90,,,,,,,,
32.10475343,35.21007474,689,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:53,Guest,a2:6c:ac:a0:7b:4d,11,-71,outsense,c2:6c:ac:a0:7b:4d,11,-72,Ariel_University,1c:b9:c4:16:05:38,11,-75,Ariel_University,1c:b9:c4:15:44:58,11,-79,Ariel_University,1c:b9:c4:16:05:78,6,-86,Afikim_Wifi,00:1a:dd:f5:df:c5,6,-87,TP-LINK_ADD150,74:ea:3a:ad:d1:50,4,-88,,,,,,,,,,,,
32.10466627,35.20990936,687,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:53,outsense,c2:6c:ac:a0:7b:4d,11,-67,EVE,90:6c:ac:a0:7b:4d,11,-69,Guest,90:6c:ac:a0:60:4d,1,-69,incentive2,a2:6c:ac:a0:60:4d,1,-70,DIRECT-B1-HP DeskJet 3830 series,70:5a:0f:57:04:17,11,-74,Ariel_University,1c:b9:c4:16:05:78,6,-80,Ariel_University,1c:b9:c4:15:25:48,1,-80, ,1c:b9:c4:96:05:37,36,-83,,,,,,,,
32.10457483,35.20975804,687,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:53,TP-LINK_ADD150,74:ea:3a:ad:d1:50,4,-69,Ariel_University,1c:b9:c4:15:23:58,6,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.10448173,35.20960715,687,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:53,Ariel_University,24:79:2a:2c:5b:d8,1,-78,CliClap,90:6c:ac:9f:f1:c5,2,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.10440239,35.20946023,687,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:53,artsim,a2:6c:ac:a0:18:29,6,-80,Ariel_University,1c:b9:c4:16:1d:78,1,-83,Ariel_University,1c:b9:c4:16:cc:d8,1,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.10430866,35.20932755,687,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:53,Ariel_University,1c:b9:c4:16:2d:e8,11,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.10419361,35.20917533,685,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:54,Ariel_University,ec:8c:a2:26:d3:68,11,-64,Ariel_University,1c:b9:c4:15:1c:b8,1,-81,Ariel_University,1c:b9:c4:16:cc:d8,1,-82,shapedo,c2:6c:ac:9f:fb:1f,1,-83,Ariel_University,ec:8c:a2:26:b0:e8,6,-86, ,00:02:6f:8e:64:67,1,-91,paysday,b2:6c:ac:9f:f1:c5,2,-92,,,,,,,,,,,,
32.10406321,35.20902709,685,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:54,sinusafe,b2:6c:ac:a0:3d:eb,3,-75,Ariel_University,1c:b9:c4:16:05:38,11,-76,Ariel_University,1c:b9:c4:16:cc:d8,1,-76,Ariel_University,1c:b9:c4:16:28:e8,1,-76,magneto,b2:6c:ac:a0:7b:4d,11,-78,paysday,b2:6c:ac:9f:f1:c5,2,-82,Ariel_University,1c:b9:c4:15:fd:48,1,-84,Ariel_University,8c:0c:90:2e:16:88,11,-84,,,,,,,,
32.10391893,35.20892354,686,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:54,Ariel_University,1c:b9:c4:15:23:58,6,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.10376365,35.20883622,686,model=Lenovo PB2-690Y_device=PB2PRO,03/12/2017 8:54,Ariel_University,ec:8c:a2:08:78:c8,6,-85,Ariel_University,e0:10:7f:1a:bd:98,6,-88,Ariel_University,1c:b9:c4:16:1d:7c,44,-89,Ariel_University,1c:b9:c4:16:d2:88,11,-89,,,,,,,,,,,,,,,,,,,,,,,,
