Latitude,Longitude,Altitude,Mac1,Signal1,Mac2,Signal2,Mac3,Signal3,Mac4,Signal4,Mac5,Signal5,Mac6,Signal6,Mac7,Signal7,Mac8,Signal8,Mac9,Signal9,Mac10,Signal10
32.10044302,35.20694539,702.0894061,1c:b9:c4:15:ed:b8,-81,8c:0c:90:ae:16:83,-86,1c:b9:c4:16:ed:3c,-91,,,,,,,,,,,,,,
32.10246618,35.20874865,706.8681231,1c:b9:c4:15:ed:b8,-73,1c:b9:c4:15:ed:bc,-79,1c:b9:c4:96:ed:47,-80,1c:b9:c4:16:e5:a8,-85,8c:0c:90:6e:16:88,-87,1c:b9:c4:95:1c:b7,-88,1c:b9:c4:16:28:ec,-88,1c:b9:c4:96:28:e7,-89,,,,
32.10229124,35.20817723,694.6910988,1c:b9:c4:16:ed:48,-57,1c:b9:c4:15:ed:bc,-65,1c:b9:c4:95:ed:b7,-65,1c:b9:c4:16:ed:4c,-68,1c:b9:c4:15:ed:b8,-68,1c:b9:c4:16:28:e8,-88,8c:0c:90:2e:16:88,-89,,,,,,
-1,-1,-1,1c:b9:c4:15:ed:bc,-59,,,,,,,,,,,,,,,,,,
32.10204442,35.2076167,694.5843383,8c:0c:90:2e:16:88,-80,8c:0c:90:6e:16:88,-82,,,,,,,,,,,,,,,,
32.10225018,35.20818021,700.0999235,8c:0c:90:ae:16:83,-69,1c:b9:c4:15:1c:b8,-70,8c:0c:90:2e:16:88,-70,8c:0c:90:6e:16:88,-71,1c:b9:c4:15:1c:bc,-77,30:e1:71:0d:e0:63,-80,,,,,,,,
32.1015081,35.20782273,704.0218951,30:e1:71:0d:e0:63,-69,1c:b9:c4:95:1c:b7,-82,1c:b9:c4:14:2b:8c,-88,c0:4a:00:71:ee:ee,-90,,,,,,,,,,,,
32.10128758,35.20740463,710.989452,30:e1:71:0d:e0:63,-62,8c:0c:90:6e:16:88,-65,1c:b9:c4:16:e5:ac,-83,1c:b9:c4:16:28:ec,-83,1c:b9:c4:96:28:e7,-84,,,,,,,,,,
32.1036456,35.20969277,701.8057074,8c:0c:90:2e:16:88,-64,1c:b9:c4:96:e5:a7,-83,,,,,,,,,,,,,,,,
32.10303571,35.20935916,705.0058527,8c:0c:90:ae:16:83,-64,1c:b9:c4:16:e5:a8,-78,1c:b9:c4:14:2b:8c,-82,1c:b9:c4:94:2b:87,-83,1c:b9:c4:96:f1:57,-87,1c:b9:c4:16:f1:5c,-87,,,,,,,,
32.10108352,35.20800727,705.7965395,40:a5:ef:7a:17:f2,-88,14:ae:db:58:0d:6d,-89,,,,,,,,,,,,,,,,
32.10206499,35.20726626,685.2070027,1c:b9:c4:16:28:e8,-79,ec:8c:a2:26:d3:68,-87,1c:b9:c4:16:12:e8,-90,1c:b9:c4:16:13:08,-90,,,,,,,,,,,,
32.10057335,35.20600761,694.5534262,8c:0c:90:2e:16:88,-58,8c:0c:90:6e:16:88,-60,00:25:86:cc:00:f8,-91,,,,,,,,,,,,,,
-1,-1,-1,8c:0c:90:ae:16:83,-59,00:25:86:cc:00:f8,-84,00:25:86:cc:07:b2,-86,,,,,,,,,,,,,,
-1,-1,-1,78:11:dc:1a:cf:d0,-89,00:02:6f:b8:c4:1a,-91,,,,,,,,,,,,,,,,
32.10275606,35.20877263,704.7163266,1c:b9:c4:16:1d:7c,-61,1c:b9:c4:15:fd:4c,-77,ec:8c:a2:26:d2:c8,-89,,,,,,,,,,,,,,
32.10210111,35.20711632,684.6128266,10:0d:7f:99:32:5e,-75,ec:8c:a2:26:d3:68,-78,,,,,,,,,,,,,,,,
32.10338961,35.20858456,685.1928448,ec:8c:a2:26:d3:68,-73,24:c9:a1:35:a5:e8,-89,1c:b9:c4:16:05:38,-90,,,,,,,,,,,,,,
